CardID,name,cmc,colorIdentity,text,printings,power,toughness,rarity,subtypes,types
1,"Ajani, Caller of the Pride",3,W,"+1: Put a +1/+1 counter on up to one target creature.\n−3: Target creature gains flying and double strike until end of turn.\n−8: Put X 2/2 white Cat creature tokens onto the battlefield, where X is your life total.",3,,,Mythic Rare,Ajani,Planeswalker
2,Ajani's Sunstriker,2,W,Lifelink (Damage dealt by this creature also causes you to gain that much life.),3,2,2,Common,"Cat,Cleric",Creature
3,Angel's Mercy,4,W,You gain 7 life.,"2,3",,,Common,,Instant
4,Angelic Benediction,4,W,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\nWhenever a creature you control attacks alone, you may tap target creature.",3,,,Uncommon,,Enchantment
5,Attended Knight,3,W,"First strike (This creature deals combat damage before creatures without first strike.)\nWhen Attended Knight enters the battlefield, put a 1/1 white Soldier creature token onto the battlefield.",3,2,2,Common,"Human,Knight",Creature
6,Aven Squire,2,W,"Flying\nExalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)",3,1,1,Common,"Bird,Soldier",Creature
7,Battleflight Eagle,5,W,"Flying\nWhen Battleflight Eagle enters the battlefield, target creature gets +2/+2 and gains flying until end of turn.",3,2,2,Common,Bird,Creature
8,Captain of the Watch,6,W,"Vigilance (Attacking doesn't cause this creature to tap.)\nOther Soldier creatures you control get +1/+1 and have vigilance.\nWhen Captain of the Watch enters the battlefield, put three 1/1 white Soldier creature tokens onto the battlefield.",3,3,3,Rare,"Human,Soldier",Creature
9,Captain's Call,4,W,Put three 1/1 white Soldier creature tokens onto the battlefield.,3,,,Common,,Sorcery
10,Crusader of Odric,3,W,Crusader of Odric's power and toughness are each equal to the number of creatures you control.,3,*,*,Uncommon,"Human,Soldier",Creature
11,Divine Favor,2,W,"Enchant creature\nWhen Divine Favor enters the battlefield, you gain 3 life.\nEnchanted creature gets +1/+3.","2,3",,,Common,Aura,Enchantment
12,Divine Verdict,4,W,Destroy target attacking or blocking creature.,3,,,Common,,Instant
13,Erase,1,W,Exile target enchantment.,3,,,Common,,Instant
14,Faith's Reward,4,W,Return to the battlefield all permanent cards in your graveyard that were put there from the battlefield this turn.,3,,,Rare,,Instant
15,Glorious Charge,2,W,Creatures you control get +1/+1 until end of turn.,3,,,Common,,Instant
16,Griffin Protector,4,W,"Flying\nWhenever another creature enters the battlefield under your control, Griffin Protector gets +1/+1 until end of turn.",3,2,3,Common,Griffin,Creature
17,Guardian Lions,5,W,Vigilance (Attacking doesn't cause this creature to tap.),3,1,6,Common,Cat,Creature
18,Guardians of Akrasa,3,W,"Defender (This creature can't attack.)\nExalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)",3,0,4,Common,"Human,Soldier",Creature
19,Healer of the Pride,4,W,"Whenever another creature enters the battlefield under your control, you gain 2 life.",3,2,3,Uncommon,"Cat,Cleric",Creature
20,Intrepid Hero,3,W,{T}: Destroy target creature with power 4 or greater.,3,1,1,Rare,"Human,Soldier",Creature
21,Knight of Glory,2,W,"Protection from black (This creature can't be blocked, targeted, dealt damage, or enchanted by anything black.)\nExalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)",3,2,1,Uncommon,"Human,Knight",Creature
22,Oblivion Ring,3,W,"When Oblivion Ring enters the battlefield, exile another target nonland permanent.\nWhen Oblivion Ring leaves the battlefield, return the exiled card to the battlefield under its owner's control.","2,3",,,Uncommon,,Enchantment
23,"Odric, Master Tactician",4,W,"First strike (This creature deals combat damage before creatures without first strike.)\nWhenever Odric, Master Tactician and at least three other creatures attack, you choose which creatures block this combat and how those creatures block.",3,3,4,Rare,"Human,Soldier",Creature
24,Pacifism,2,W,Enchant creature\nEnchanted creature can't attack or block.,"2,3",,,Common,Aura,Enchantment
25,Pillarfield Ox,4,W,,3,2,4,Common,Ox,Creature
26,Planar Cleansing,6,W,Destroy all nonland permanents.,3,,,Rare,,Sorcery
